Date,Open,High,Low,Close,Adj Close,Volume
Oct 24 2025,59800.0,59900.0,58800.0,59500.0,59500.0,4379400
Oct 23 2025,58900.0,60300.0,58900.0,59800.0,59800.0,4478162
Oct 22 2025,60100.0,60200.0,58500.0,59600.0,59600.0,4682742
Oct 21 2025,59700.0,60700.0,59300.0,59300.0,59300.0,8907885
Oct 20 2025,61800.0,62200.0,58600.0,59400.0,59400.0,12127300
Oct 17 2025,62900.0,62900.0,61800.0,61900.0,61900.0,5965555
Oct 16 2025,62700.0,63000.0,62500.0,62900.0,62900.0,4639896
Oct 15 2025,63100.0,63400.0,62500.0,62500.0,62500.0,5569622
Oct 14 2025,63500.0,64000.0,62900.0,63100.0,63100.0,7019006
Oct 13 2025,63400.0,63800.0,62800.0,63100.0,63100.0,8530994
Oct 10 2025,63900.0,64400.0,63600.0,64200.0,64200.0,5392243
Oct 9 2025,64500.0,65200.0,63800.0,63800.0,63800.0,5985726
Oct 8 2025,64200.0,64900.0,63600.0,64600.0,64600.0,8316928
Oct 7 2025,64100.0,64100.0,63300.0,63700.0,63700.0,4481587
Oct 6 2025,62800.0,64000.0,62800.0,64000.0,64000.0,7469299
Oct 3 2025,62000.0,62000.0,61400.0,61700.0,61700.0,3072042
Oct 2 2025,62400.0,63100.0,62100.0,62100.0,61650.0,3764921
Oct 1 2025,62700.0,62700.0,62000.0,62400.0,61947.83,3230888
Sep 30 2025,62800.0,62900.0,61800.0,62000.0,61550.73,4301201
Sep 29 2025,62900.0,62900.0,62400.0,62600.0,62146.38,3225923
Sep 26 2025,63200.0,63400.0,62900.0,63000.0,62543.48,4027553
Sep 25 2025,63300.0,63400.0,62700.0,63000.0,62543.48,4081042
Sep 24 2025,62400.0,62700.0,61800.0,62700.0,62245.65,3924578
Sep 23 2025,62400.0,63100.0,62200.0,62200.0,61749.28,3813363
Sep 22 2025,63000.0,63200.0,61800.0,62000.0,61550.73,6114086
Sep 19 2025,64200.0,64500.0,63000.0,63000.0,62543.48,7148361
Sep 18 2025,64900.0,64900.0,63600.0,63900.0,63436.96,8815058
Sep 17 2025,65500.0,65800.0,64800.0,64800.0,64330.43,6275957
Sep 16 2025,66000.0,66600.0,65600.0,65600.0,65124.64,6829896
Sep 15 2025,66000.0,66000.0,65500.0,65800.0,65323.19,12025590
Sep 12 2025,66200.0,66200.0,65000.0,65800.0,65323.19,5700154
Sep 11 2025,65600.0,66000.0,64200.0,65700.0,65223.91,6639770
Sep 10 2025,65600.0,66000.0,64800.0,65800.0,65323.19,5013842
Sep 9 2025,65500.0,66200.0,64500.0,64900.0,64429.71,6448308
Sep 8 2025,67100.0,67500.0,65300.0,65300.0,64826.81,11211920
Sep 5 2025,69500.0,69600.0,67500.0,67500.0,67010.87,11260080
Sep 4 2025,67500.0,69000.0,66900.0,68900.0,68400.73,9042641
Sep 3 2025,68800.0,68800.0,67000.0,67000.0,66514.49,14579980
Aug 29 2025,69200.0,70100.0,68500.0,68600.0,68102.9,14707680
Aug 28 2025,69500.0,70600.0,68700.0,69000.0,68500.0,9359793
Aug 27 2025,65000.0,69100.0,65000.0,69100.0,68599.27,33254600
Aug 26 2025,63600.0,65000.0,62900.0,64600.0,64131.88,8209194
Aug 25 2025,65800.0,65800.0,63400.0,63600.0,63139.13,7867628
Aug 22 2025,64000.0,67200.0,63700.0,64600.0,64131.88,19176940
Aug 21 2025,63300.0,65000.0,63300.0,64200.0,63734.78,9918977
Aug 20 2025,64500.0,64600.0,62200.0,63000.0,62543.48,10760680
Aug 19 2025,64500.0,65400.0,64200.0,64200.0,63734.78,9416712
Aug 18 2025,64800.0,65600.0,64000.0,64500.0,64032.61,8583087
Aug 15 2025,67400.0,67500.0,64200.0,64300.0,63834.06,16749930
Aug 14 2025,63700.0,66300.0,63300.0,65200.0,64727.54,19173770
Aug 13 2025,63500.0,63600.0,62000.0,62500.0,62047.1,7586427
Aug 12 2025,62800.0,64800.0,62700.0,63000.0,62543.48,12473370
Aug 11 2025,62100.0,63200.0,62100.0,62500.0,62047.1,7393190
Aug 8 2025,62200.0,63300.0,61600.0,61900.0,61451.45,10795670
Aug 7 2025,62900.0,62900.0,61300.0,61700.0,61252.9,9626430
Aug 6 2025,62100.0,62800.0,61900.0,62300.0,61848.55,4813719
Aug 5 2025,61500.0,63700.0,61200.0,61500.0,61054.35,18885850
Aug 4 2025,60100.0,61400.0,60000.0,61100.0,60657.25,4593017
Aug 1 2025,60300.0,60600.0,59700.0,60200.0,59763.77,4931693
Jul 31 2025,61500.0,61700.0,60100.0,60200.0,59763.77,6205831
Jul 30 2025,61000.0,61900.0,60400.0,60900.0,60458.7,7399600
Jul 29 2025,63200.0,63200.0,61000.0,61000.0,60557.97,10780710
Jul 28 2025,62200.0,63000.0,62100.0,62800.0,62344.93,10813560
Jul 25 2025,62100.0,62500.0,61900.0,62000.0,61550.73,5111588
Jul 24 2025,62200.0,63500.0,61900.0,62100.0,61650.0,8940746
Jul 23 2025,62500.0,62600.0,61800.0,62100.0,61650.0,5224822
Jul 22 2025,61300.0,62200.0,60900.0,62200.0,61749.28,5029448
Jul 21 2025,62200.0,62700.0,61300.0,61300.0,60855.8,7125587
Jul 18 2025,62300.0,62600.0,61800.0,61900.0,61451.45,7041692
Jul 17 2025,61800.0,62700.0,61800.0,62200.0,61749.28,14285620
Jul 16 2025,61400.0,62100.0,61100.0,61800.0,61352.18,62729140
Jul 15 2025,62400.0,62600.0,61400.0,61400.0,60955.07,6454627
Jul 14 2025,62900.0,62900.0,61000.0,62400.0,61947.83,8165467
Jul 11 2025,61500.0,63100.0,61500.0,62700.0,62245.65,12846700
Jul 10 2025,61800.0,61800.0,61000.0,61400.0,60955.07,8283436
Jul 9 2025,59400.0,61800.0,59400.0,61500.0,61054.35,16602680
Jul 8 2025,58800.0,59500.0,58600.0,59000.0,58572.46,10886490
Jul 7 2025,58500.0,58900.0,58200.0,58600.0,58175.36,8193549
Jul 4 2025,57900.0,58800.0,57800.0,58400.0,57976.81,4973776
Jul 3 2025,58100.0,58800.0,57700.0,57900.0,57480.43,7534255
Jul 2 2025,58300.0,58600.0,57700.0,58000.0,57579.71,3038603
Jul 1 2025,57200.0,58800.0,57100.0,58200.0,57778.26,10151510
Jun 30 2025,57000.0,57200.0,56900.0,57000.0,56586.96,3991227
Jun 27 2025,56600.0,57300.0,56400.0,56700.0,56289.13,4176599
Jun 26 2025,56700.0,56800.0,56400.0,56400.0,55991.3,3004219
Jun 25 2025,56800.0,56900.0,56600.0,56600.0,56189.86,2833088
Jun 24 2025,56900.0,57100.0,56600.0,56600.0,56189.86,4670030
Jun 23 2025,56700.0,56900.0,56500.0,56600.0,56189.86,2776926
Jun 20 2025,56700.0,57200.0,56500.0,57100.0,56686.23,8079498
Jun 19 2025,56700.0,57000.0,56500.0,56600.0,56189.86,2430564
Jun 18 2025,57200.0,57300.0,56500.0,56700.0,56289.13,3615309
Jun 17 2025,56900.0,57500.0,56800.0,57200.0,56785.51,5226205
Jun 16 2025,56200.0,56700.0,56200.0,56600.0,56189.86,4620463
Jun 13 2025,55900.0,57100.0,55600.0,56200.0,55792.75,5432163
Jun 12 2025,56000.0,56100.0,55700.0,56000.0,55594.2,2647774
Jun 11 2025,56200.0,56200.0,55700.0,55700.0,55296.38,2358663
Jun 10 2025,56000.0,56200.0,55900.0,55900.0,55494.93,2422688
Jun 9 2025,56200.0,56400.0,55900.0,55900.0,55494.93,2287030
Jun 6 2025,56300.0,56600.0,56100.0,56100.0,55693.48,2723554
Jun 5 2025,56700.0,56800.0,56300.0,56300.0,55892.03,2916587
Jun 4 2025,56900.0,57000.0,56500.0,56600.0,56189.86,2902760
Jun 3 2025,56700.0,56900.0,56400.0,56800.0,56388.41,3408416
Jun 2 2025,56500.0,56500.0,56100.0,56200.0,55792.75,3439645
May 30 2025,56800.0,56900.0,56400.0,56400.0,55991.3,3978554
May 29 2025,57200.0,57200.0,56700.0,56700.0,56289.13,4318542
May 28 2025,57100.0,57600.0,56800.0,56800.0,56388.41,7459437
May 27 2025,56800.0,57200.0,56700.0,56800.0,56388.41,5805811
May 26 2025,56900.0,57000.0,56000.0,57000.0,56586.96,5058429
May 23 2025,56900.0,57500.0,56700.0,56800.0,56388.41,3761892
May 22 2025,57100.0,57400.0,56900.0,56900.0,56487.68,4096103
May 21 2025,57500.0,57900.0,57000.0,57100.0,56686.23,5375505
May 20 2025,57000.0,57400.0,56800.0,57100.0,56686.23,3906882
May 19 2025,57400.0,57600.0,57000.0,57000.0,56586.96,5002918
May 16 2025,58800.0,59000.0,57500.0,57500.0,57083.33,11589970
May 15 2025,59300.0,59800.0,58700.0,58700.0,58274.64,8290607
May 14 2025,57200.0,58800.0,57200.0,58700.0,58274.64,8071608
May 13 2025,57100.0,57300.0,56600.0,56800.0,56388.41,7613543
May 12 2025,57000.0,57300.0,56200.0,56600.0,56189.86,6045543
May 9 2025,57300.0,57600.0,56600.0,56600.0,56189.86,6055894
May 8 2025,57400.0,57700.0,56900.0,57100.0,56686.23,3064860
May 7 2025,57100.0,57500.0,57000.0,57000.0,56586.96,2545087
May 6 2025,57300.0,58000.0,57000.0,57000.0,56586.96,3508281
May 5 2025,57500.0,58000.0,57000.0,57100.0,56686.23,2231718
Apr 29 2025,57700.0,58500.0,57300.0,57300.0,56884.78,2462700
Apr 28 2025,57700.0,58300.0,57500.0,57500.0,57083.33,1818600
Apr 25 2025,58200.0,59000.0,57500.0,57500.0,57083.33,3682000
Apr 24 2025,58200.0,58600.0,58000.0,58200.0,57778.26,2025200
Apr 23 2025,59400.0,59400.0,58000.0,58000.0,57579.71,1928700
Apr 22 2025,58100.0,58800.0,54700.0,58500.0,58076.09,4014700
Apr 21 2025,58500.0,58900.0,58100.0,58200.0,57778.26,1290500
Apr 18 2025,58700.0,59600.0,58100.0,58100.0,57678.98,2329401
Apr 17 2025,59300.0,59300.0,58100.0,58100.0,57678.98,3151800
Apr 16 2025,59700.0,60300.0,59000.0,59300.0,58870.29,2789800
Apr 15 2025,59100.0,60900.0,58300.0,60000.0,59565.22,5783200
Apr 14 2025,60000.0,60000.0,58700.0,59300.0,58870.29,3783500
Apr 11 2025,59800.0,59900.0,58000.0,59800.0,59366.67,8059500
Apr 10 2025,56100.0,56100.0,56100.0,56100.0,55693.48,196200
Apr 9 2025,52000.0,59700.0,52000.0,52500.0,52119.57,8995800
Apr 8 2025,59800.0,59800.0,55800.0,55800.0,55395.65,7255601
Apr 4 2025,56700.0,60000.0,56200.0,60000.0,59565.22,12023700
Apr 3 2025,64000.0,64400.0,60300.0,60300.0,59863.04,10107100
Apr 2 2025,65000.0,66000.0,64600.0,64800.0,64330.43,2393700
Apr 1 2025,64700.0,65300.0,64000.0,64500.0,64032.61,1816200
Mar 31 2025,64700.0,65200.0,64000.0,64000.0,63536.23,1834900
Mar 28 2025,65500.0,65700.0,64800.0,64800.0,64330.43,1751600
Mar 27 2025,65800.0,65900.0,65500.0,65500.0,65025.36,964500
Mar 26 2025,66400.0,66600.0,65800.0,65800.0,65323.19,1608400
Mar 25 2025,66500.0,66600.0,66200.0,66200.0,65720.29,2091100
Mar 24 2025,66300.0,66500.0,65500.0,66500.0,66018.12,2078600
Mar 21 2025,67000.0,67000.0,66000.0,66000.0,65521.74,1764500
Mar 20 2025,66500.0,67000.0,66200.0,66800.0,66315.95,1789901
Mar 19 2025,67200.0,67200.0,66500.0,66500.0,66018.12,3937000
Mar 18 2025,67800.0,67800.0,66800.0,66800.0,66315.95,3757000
Mar 17 2025,66000.0,67300.0,66000.0,67300.0,66812.32,5003800
Mar 14 2025,65400.0,66800.0,65400.0,66000.0,65521.74,5021600
Mar 13 2025,67200.0,67200.0,65200.0,65500.0,65025.36,4559300
Mar 12 2025,66000.0,68600.0,65600.0,66700.0,66216.66,7661300
Mar 11 2025,64214.05,64749.16,63946.49,64749.16,64279.97,5536284
Mar 10 2025,64481.61,65150.5,64280.94,64749.16,64279.97,6772051
Mar 7 2025,62608.7,63745.82,62541.8,63612.04,63151.08,6103337
Mar 6 2025,62541.8,63010.04,62341.14,62541.8,62088.6,3675607
Mar 5 2025,62207.36,62742.48,62207.36,62207.36,61756.58,2815384
Mar 4 2025,62341.14,62474.92,62006.69,62207.36,61756.58,3940371
Mar 3 2025,62541.8,62541.8,62207.36,62408.03,61955.8,1964430
Feb 28 2025,63010.04,63010.04,62408.03,62408.03,61955.8,3300362
Feb 27 2025,63478.26,63812.71,62876.25,62876.25,62420.63,7612241
Feb 26 2025,61939.8,62140.47,61672.24,61739.13,61291.74,1354470
Feb 25 2025,62541.8,62608.7,61872.91,61939.8,61490.96,2974452
Feb 24 2025,62408.03,62541.8,62006.69,62541.8,62088.6,3128736
Feb 21 2025,61605.35,62274.25,61605.35,62274.25,61822.98,3757533
Feb 20 2025,61672.24,61739.13,61337.79,61337.79,60893.32,2745418
Feb 19 2025,61270.9,61337.79,61070.23,61337.79,60893.32,2773972
Feb 18 2025,61270.9,61538.46,61137.13,61270.9,60826.91,1891623
Feb 17 2025,61204.01,61538.46,61204.01,61270.9,60826.91,1176714
Feb 14 2025,61672.24,61672.24,61204.01,61270.9,60826.91,1715662
Feb 13 2025,61471.57,61471.57,61137.13,61270.9,60826.91,1289138
Feb 12 2025,61471.57,61872.91,61204.01,61204.01,60760.5,1874580
Feb 11 2025,61672.24,61739.13,61337.79,61471.57,61026.13,1553903
Feb 10 2025,62140.47,62140.47,61471.57,61672.24,61225.34,3734360
Feb 7 2025,62140.47,62341.14,61872.91,62207.36,61756.58,3604295
Feb 6 2025,62073.58,62474.92,62006.69,62140.47,61690.18,2319343
Feb 5 2025,61538.46,62073.58,61538.46,61939.8,61490.96,2236221
Feb 4 2025,61605.35,61672.24,61337.79,61538.46,61092.53,1523704
Feb 3 2025,61739.13,61806.02,61270.9,61270.9,60826.91,2424292
Jan 24 2025,61605.35,62207.36,61605.35,61939.8,61490.96,1728967
Jan 23 2025,61070.23,62140.47,61070.23,61872.91,61424.55,2647495
Jan 22 2025,61538.46,61538.46,61003.34,61003.34,60561.29,1708934
Jan 21 2025,61605.35,61605.35,61070.23,61137.13,60694.1,2542990
Jan 20 2025,61739.13,61872.91,61270.9,61337.79,60893.32,2803872
Jan 17 2025,62006.69,62207.36,61672.24,61872.91,61424.55,2861259
Jan 16 2025,61471.57,62341.14,61404.68,62006.69,61557.36,3763214
Jan 15 2025,61471.57,61471.57,61137.13,61137.13,60694.1,793994
Jan 14 2025,61471.57,61471.57,61003.34,61337.79,60893.32,1012563
Jan 13 2025,61070.23,61471.57,60936.45,61471.57,61026.13,1699815
Jan 10 2025,61471.57,61806.02,61137.13,61137.13,60694.1,1663187
Jan 9 2025,61538.46,61672.24,61337.79,61471.57,61026.13,1446711
Jan 8 2025,61739.13,61806.02,61204.01,61806.02,61358.15,1572740
Jan 7 2025,62341.14,62341.14,61739.13,61739.13,61291.74,2267915
Jan 6 2025,61538.46,62474.92,61471.57,62140.47,61690.18,2895516
Jan 3 2025,61471.57,61806.02,61471.57,61538.46,61092.53,2543892
Jan 2 2025,61270.9,61872.91,61204.01,61471.57,61026.13,2437598
Dec 31 2024,61672.24,61806.02,61003.34,61003.34,60561.29,3779958
Dec 30 2024,61672.24,61872.91,61538.46,61538.46,61092.53,2618791
Dec 27 2024,61872.91,62207.36,61672.24,61672.24,61225.34,2451650
Dec 26 2024,61872.91,62073.58,61538.46,61605.35,61158.94,3330710
Dec 25 2024,61672.24,62742.48,61672.24,61806.02,61358.15,4091366
Dec 24 2024,62006.69,62073.58,61538.46,61605.35,61158.94,1603088
Dec 23 2024,61939.8,62073.58,61806.02,61806.02,61358.15,2410239
Dec 20 2024,61806.02,62140.47,61739.13,61872.91,61424.55,2790417
Dec 19 2024,62073.58,62073.58,61672.24,61806.02,61358.15,2988056
Dec 18 2024,62207.36,62408.03,62207.36,62274.25,61822.98,844525
Dec 17 2024,62207.36,62274.25,62073.58,62207.36,61756.58,1759764
Dec 16 2024,62207.36,62341.14,62140.47,62274.25,61822.98,1797887
Dec 13 2024,62341.14,62608.7,62140.47,62274.25,61822.98,2149959
Dec 12 2024,62541.8,63143.81,62541.8,62541.8,62088.6,1055022
Dec 11 2024,63210.7,63411.37,62341.14,62408.03,61955.8,2629256
Dec 10 2024,63745.82,63745.82,63210.7,63210.7,62752.66,1461063
Dec 9 2024,63010.04,63745.82,62809.36,63745.82,63283.89,3059517
Dec 6 2024,62876.25,63745.82,62809.36,63010.04,62553.44,2541649
Dec 5 2024,62207.36,63277.59,62207.36,62876.25,62420.63,3732417
Dec 4 2024,62073.58,62809.36,61872.91,62541.8,62088.6,1800579
Dec 3 2024,63143.81,63143.81,61939.8,62207.36,61756.58,3753048
Dec 2 2024,63478.26,63612.04,62809.36,63010.04,62553.44,2465404
Nov 29 2024,61939.8,62408.03,61872.91,62408.03,61955.8,1607274
Nov 28 2024,62274.25,62541.8,61872.91,61939.8,61490.96,2076405
Nov 27 2024,61739.13,62341.14,61739.13,62006.69,61557.36,1565564
Nov 26 2024,61137.13,62140.47,61137.13,61806.02,61358.15,2875632
Nov 25 2024,60802.68,61672.24,60802.68,61070.23,60627.7,2711931
Nov 22 2024,60869.57,61070.23,60602.01,60602.01,60162.86,2830483
Nov 21 2024,60468.23,61070.23,60334.45,60535.12,60096.46,2184344
Nov 20 2024,60200.67,61003.34,60133.78,60401.34,59963.64,2557496
Nov 19 2024,61204.01,61270.9,60200.67,60200.67,59764.43,2446418
Nov 18 2024,61337.79,61739.13,60802.68,60869.57,60428.48,2907625
Nov 15 2024,61538.46,61872.91,61270.9,61337.79,60893.32,2380040
Nov 14 2024,61538.46,61872.91,61471.57,61538.46,61092.53,2675601
Nov 13 2024,61471.57,62140.47,61471.57,61872.91,61424.55,2070874
Nov 12 2024,61538.46,62341.14,61471.57,61471.57,61026.13,2102418
Nov 11 2024,62073.58,62073.58,61471.57,61538.46,61092.53,3009136
Nov 8 2024,62541.8,62809.36,61672.24,61672.24,61225.34,2212600
Nov 7 2024,62341.14,62809.36,62341.14,62341.14,61889.39,2201088
Nov 6 2024,62073.58,62474.92,62073.58,62140.47,61690.18,2267616
Nov 5 2024,61939.8,62207.36,61538.46,61939.8,61490.96,1698469
Nov 4 2024,62876.25,63745.82,61806.02,61872.91,61424.55,2920632
Nov 1 2024,62876.25,63478.26,62541.8,62541.8,62088.6,2666040
Oct 31 2024,61204.01,63545.15,61204.01,62608.7,62155.01,4468405
Oct 30 2024,61538.46,61806.02,61270.9,61337.79,60893.32,972497
Oct 29 2024,61605.35,61939.8,61538.46,61538.46,61092.53,2089412
Oct 28 2024,61204.01,61739.13,61204.01,61538.46,61092.53,1689052
Oct 25 2024,61605.35,61739.13,61337.79,61404.68,60959.72,1571694
Oct 24 2024,61672.24,61739.13,61137.13,61337.79,60893.32,1129323
Oct 23 2024,61003.34,61404.68,61003.34,61204.01,60760.5,1120203
